timestamp,position_lat,position_long,distance,enhanced_speed,enhanced_altitude,power,heart_rate,cadence,temperature,fractional_cadence
2023-08-23 17:14:30,37.436843644827604,-122.12830030359328,133.79,3.882,3.6000000000000227,95,NaN,45,33,0.0
2023-08-23 17:14:31,37.43686149828136,-122.12833936326206,137.69,3.798,3.6000000000000227,63,NaN,45,33,0.0
2023-08-23 17:14:32,37.43687113747001,-122.1283909957856,142.37,4.05,3.6000000000000227,63,NaN,44,33,0.0
2023-08-23 17:14:33,37.436888571828604,-122.12844036519527,147.21,4.357,3.6000000000000227,85,NaN,45,33,0.0
2023-08-23 17:14:34,37.43690810166299,-122.12848554365337,151.89,4.563,3.6000000000000227,51,NaN,49,33,0.0
2023-08-23 17:14:35,37.436929140239954,-122.12851990945637,155.54,4.6,3.6000000000000227,0,NaN,49,33,0.0
2023-08-23 17:14:36,37.43695403449237,-122.12856265716255,160.24,4.479,3.6000000000000227,0,NaN,49,33,0.0
2023-08-23 17:14:37,37.43697532452643,-122.12860548868775,164.8,4.273,3.6000000000000227,0,NaN,0,33,0.0
2023-08-23 17:14:38,37.43699787184596,-122.12864329107106,168.9,4.264,3.6000000000000227,0,NaN,21,33,0.0
2023-08-23 17:14:39,37.43702419102192,-122.12868235073984,173.45,4.273,3.6000000000000227,41,0,36,33,0.0
2023-08-23 17:14:40,37.437049923464656,-122.1287203207612,177.91,4.376,3.6000000000000227,58,0,49,33,0.0
2023-08-23 17:14:41,37.43707465007901,-122.12875979952514,182.35,4.497,3.8000000000000114,64,59,49,33,0.0
2023-08-23 17:14:42,37.437096275389194,-122.128801709041,186.76,4.553,3.8000000000000114,116,59,51,33,0.0
2023-08-23 17:14:43,37.43711546994746,-122.12884713895619,191.32,4.535,3.8000000000000114,0,59,51,33,0.0
2023-08-23 17:14:44,37.437136424705386,-122.12888661772013,195.48,4.329,4.0,0,59,51,33,0.0
2023-08-23 17:14:45,37.43716190569103,-122.12892232462764,199.57,4.171,4.0,0,59,0,33,0.0
2023-08-23 17:14:46,37.43719283491373,-122.12895819917321,204.36,4.059,4.199999999999989,0,59,0,33,0.0
2023-08-23 17:14:47,37.437220830470324,-122.12899575009942,208.94,4.339,4.399999999999977,0,59,12,34,0.0
2023-08-23 17:14:48,37.43724329397082,-122.12903598323464,213.33,4.329,4.399999999999977,48,59,37,34,0.0
2023-08-23 17:14:49,37.437263829633594,-122.1290742047131,217.34,4.199,4.399999999999977,60,59,50,34,0.0
2023-08-23 17:14:50,37.43728478439152,-122.12911217473447,221.43,4.171,4.399999999999977,41,59,50,34,0.0
2023-08-23 17:14:51,37.43730657733977,-122.12914989329875,225.5,4.087,4.199999999999989,0,60,50,34,0.0
2023-08-23 17:14:52,37.43733122013509,-122.12918794713914,229.77,4.068,4.399999999999977,0,60,50,34,0.0
2023-08-23 17:14:53,37.4373566173017,-122.1292261686176,234.34,4.003,4.399999999999977,0,61,0,34,0.0
2023-08-23 17:14:54,37.437378661707044,-122.12925978004932,238.12,3.966,4.399999999999977,0,62,0,34,0.0
2023-08-23 17:14:55,37.43740548379719,-122.12928995490074,242.01,3.947,4.399999999999977,0,62,0,34,0.0
2023-08-23 17:14:56,37.43743264116347,-122.12932331487536,246.35,3.882,4.399999999999977,0,62,9,34,0.0
2023-08-23 17:14:57,37.4374570325017,-122.12935985997319,250.52,4.133,4.399999999999977,44,63,35,34,0.0
